epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1
1,1.809425,0.290827,1.780266,0.294355,0.064976
2,1.785344,0.295363,1.768776,0.294355,0.064976
3,1.710997,0.346270,1.586044,0.372984,0.141867
4,1.489943,0.477571,1.349002,0.495968,0.356623
5,1.232685,0.559476,1.151257,0.524194,0.418149
6,1.028206,0.627268,0.988589,0.633065,0.590505
7,0.873317,0.680696,0.794866,0.721774,0.677354
8,0.748025,0.723790,0.641743,0.786290,0.756842
9,0.661721,0.770917,0.640357,0.745968,0.677384
10,0.555501,0.801663,0.513152,0.840726,0.819990
11,0.473961,0.836190,0.539374,0.812500,0.762911
12,0.411576,0.852571,0.400421,0.872984,0.855445
13,0.340204,0.880040,0.369638,0.864919,0.839951
14,0.296595,0.901462,0.322359,0.879032,0.845893
15,0.248008,0.915827,0.248717,0.919355,0.905489
16,0.207133,0.933216,0.218687,0.923387,0.905182
17,0.197850,0.934980,0.222660,0.915323,0.905141
18,0.166531,0.946825,0.204234,0.923387,0.909720
19,0.155531,0.948589,0.171277,0.937500,0.919914
20,0.137271,0.952369,0.235403,0.911290,0.895143
21,0.122515,0.959929,0.232786,0.911290,0.894698
22,0.102110,0.966482,0.192978,0.933468,0.920113
23,0.086058,0.972782,0.159568,0.939516,0.926182
24,0.103085,0.966734,0.176481,0.937500,0.924242
25,0.083119,0.970514,0.147277,0.951613,0.936903
26,0.073732,0.978075,0.129481,0.959677,0.948504
27,0.046121,0.986895,0.123533,0.965726,0.959644
28,0.043694,0.987651,0.118416,0.963710,0.953423
29,0.064818,0.978075,0.153226,0.951613,0.944336
30,0.077028,0.976562,0.164815,0.959677,0.948353
31,0.042270,0.985887,0.112753,0.965726,0.953086
32,0.039871,0.986391,0.145002,0.949597,0.940174
33,0.029208,0.991935,0.123939,0.965726,0.954917
34,0.038371,0.987399,0.135680,0.957661,0.946555
35,0.031931,0.989919,0.100803,0.969758,0.960373
36,0.047389,0.984123,0.125176,0.959677,0.944953
37,0.024064,0.994204,0.093518,0.967742,0.955405
38,0.034659,0.990927,0.151785,0.963710,0.945463
39,0.023996,0.992692,0.097729,0.969758,0.957814
40,0.021685,0.993448,0.099757,0.973790,0.964129
41,0.015455,0.995716,0.094030,0.973790,0.965930
42,0.013546,0.996724,0.111054,0.967742,0.956182
43,0.013451,0.996220,0.136870,0.963710,0.949121
44,0.021023,0.992692,0.207625,0.947581,0.932306
45,0.049016,0.979839,0.259835,0.935484,0.920115
46,0.086416,0.974042,0.126119,0.957661,0.940980
47,0.037083,0.988155,0.170951,0.953629,0.939747
48,0.027275,0.990927,0.147915,0.955645,0.942500
49,0.060194,0.978075,0.349156,0.909274,0.895969
50,0.096151,0.966734,0.141481,0.947581,0.934956
51,0.024638,0.993952,0.125698,0.959677,0.951521
52,0.013424,0.996472,0.103367,0.959677,0.946846
53,0.010504,0.997480,0.097163,0.973790,0.963802
54,0.004878,0.999748,0.104361,0.973790,0.965930
55,0.002613,0.999748,0.088257,0.975806,0.967664
56,0.002206,1.000000,0.088408,0.973790,0.965575
57,0.001689,1.000000,0.086565,0.975806,0.966661
58,0.001602,1.000000,0.093641,0.975806,0.967664
59,0.001458,1.000000,0.094678,0.973790,0.965575
60,0.001178,1.000000,0.090914,0.975806,0.966661
61,0.001154,1.000000,0.096475,0.977823,0.969329
62,0.001071,1.000000,0.092937,0.975806,0.966661
63,0.000929,1.000000,0.098038,0.975806,0.966661
64,0.000909,1.000000,0.092540,0.975806,0.966661
65,0.000835,1.000000,0.095037,0.977823,0.968751
66,0.000764,1.000000,0.098446,0.977823,0.970810
67,0.000723,1.000000,0.097707,0.975806,0.966661
68,0.000668,1.000000,0.096235,0.975806,0.966661
69,0.000607,1.000000,0.098186,0.977823,0.970810
70,0.000584,1.000000,0.098873,0.975806,0.966661
71,0.000532,1.000000,0.097596,0.977823,0.970810
72,0.000474,1.000000,0.099763,0.975806,0.966661
73,0.000449,1.000000,0.099131,0.977823,0.970810
74,0.000396,1.000000,0.099792,0.975806,0.966661
75,0.000387,1.000000,0.104134,0.977823,0.970810
76,0.000366,1.000000,0.103983,0.977823,0.970810
77,0.000337,1.000000,0.105038,0.975806,0.967393
78,0.000326,1.000000,0.099484,0.977823,0.970810
79,0.000290,1.000000,0.098957,0.975806,0.968129
80,0.000299,1.000000,0.097811,0.977823,0.970810
81,0.000261,1.000000,0.096319,0.975806,0.969097
82,0.000254,1.000000,0.095164,0.979839,0.972903
83,0.000242,1.000000,0.104144,0.977823,0.970810
84,0.000230,1.000000,0.102011,0.977823,0.970810
85,0.000217,1.000000,0.101592,0.975806,0.968129
86,0.000213,1.000000,0.100492,0.975806,0.968129
87,0.000203,1.000000,0.104353,0.975806,0.968129
88,0.000187,1.000000,0.097710,0.977823,0.970184
89,0.000192,1.000000,0.105076,0.977823,0.970810
90,0.000181,1.000000,0.098328,0.977823,0.970184
91,0.000177,1.000000,0.101352,0.975806,0.967427
92,0.000163,1.000000,0.102476,0.975806,0.967427
93,0.000152,1.000000,0.103949,0.977823,0.970184
94,0.000149,1.000000,0.101930,0.975806,0.967427
95,0.000142,1.000000,0.105712,0.977823,0.970184
96,0.000142,1.000000,0.102993,0.977823,0.970184
97,0.000138,1.000000,0.107122,0.975806,0.967427
98,0.000125,1.000000,0.104512,0.977823,0.970184
99,0.000123,1.000000,0.108355,0.973790,0.965368
100,0.000133,1.000000,0.107498,0.977823,0.970184
101,0.000115,1.000000,0.112885,0.977823,0.970917
102,0.000111,1.000000,0.112304,0.975806,0.968129
