attack,split,epsilon,pgd_steps,pgd_alpha,attack_accuracy,attack_macro_f1,fall_recall,missed_fall_rate,fall_precision,fall_f1,fall_true_positive,fall_false_negative,fall_false_positive,fall_true_negative,false_fall_alarm_count,prediction_change_rate,fall_recall_drop_vs_clean,accuracy_drop_vs_clean
pgd,legacy,0.000000,10,0.000000,0.985944,0.977930,0.988764,0.011236,1.000000,0.994350,88,1,0,907,0,0.000000,0.000000,0.000000
pgd,legacy,0.002500,10,0.000417,0.392570,0.323684,0.382022,0.617978,0.459459,0.417178,34,55,40,867,40,0.594378,0.606742,0.593373
pgd,legacy,0.005000,10,0.000833,0.052209,0.034260,0.022472,0.977528,0.019608,0.020942,2,87,100,807,100,0.934739,0.966292,0.933735
pgd,legacy,0.007500,10,0.001250,0.008032,0.004321,0.000000,1.000000,0.000000,0.000000,0,89,118,789,118,0.978916,0.988764,0.977912
pgd,legacy,0.010000,10,0.001667,0.001004,0.000542,0.000000,1.000000,0.000000,0.000000,0,89,122,785,122,0.985944,0.988764,0.984940
pgd,legacy,0.012500,10,0.002083,0.001004,0.000541,0.000000,1.000000,0.000000,0.000000,0,89,121,786,121,0.985944,0.988764,0.984940
pgd,legacy,0.015000,10,0.002500,0.001004,0.000537,0.000000,1.000000,0.000000,0.000000,0,89,120,787,120,0.985944,0.988764,0.984940
pgd,legacy,0.017500,10,0.002917,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,120,787,120,0.986948,0.988764,0.985944
pgd,legacy,0.020000,10,0.003333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,117,790,117,0.986948,0.988764,0.985944
pgd,legacy,0.025000,10,0.004167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,114,793,114,0.986948,0.988764,0.985944
pgd,legacy,0.030000,10,0.005000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,111,796,111,0.986948,0.988764,0.985944
pgd,legacy,0.035000,10,0.005833,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,105,802,105,0.987952,0.988764,0.985944
pgd,legacy,0.040000,10,0.006667,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,101,806,101,0.987952,0.988764,0.985944
pgd,legacy,0.045000,10,0.007500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,99,808,99,0.987952,0.988764,0.985944
pgd,legacy,0.050000,10,0.008333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,97,810,97,0.987952,0.988764,0.985944
pgd,legacy,0.055000,10,0.009167,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,94,813,94,0.987952,0.988764,0.985944
pgd,legacy,0.060000,10,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,86,821,86,0.987952,0.988764,0.985944
pgd,legacy,0.075000,10,0.012500,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0,89,80,827,80,0.988956,0.988764,0.985944
