attack_type,epsilon,seven_class_accuracy,missed_fall_rate,false_alarm_count,recall_sensitivity,f1_score,balanced_accuracy,prediction_change_rate
FGSM,0.000,0.659639,0.359551,32,0.640449,0.640449,0.802584,0.000000
FGSM,0.005,0.411647,0.741573,40,0.258427,0.302632,0.607163,0.287149
FGSM,0.010,0.238956,0.988764,45,0.011236,0.014815,0.480811,0.483936
FGSM,0.020,0.062249,1.000000,100,0.000000,0.000000,0.444873,0.682731
FGSM,0.030,0.010040,1.000000,119,0.000000,0.000000,0.434399,0.743976
PGD,0.000,0.659639,0.359551,32,0.640449,0.640449,0.802584,0.000000
PGD,0.005,0.389558,0.786517,43,0.213483,0.251656,0.583037,0.310241
PGD,0.010,0.172691,1.000000,70,0.000000,0.000000,0.461411,0.561245
PGD,0.020,0.013052,1.000000,111,0.000000,0.000000,0.438809,0.745984
PGD,0.030,0.000000,1.000000,115,0.000000,0.000000,0.436604,0.778112
