epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,weights_active,mean_w,mean_w_fall,mean_w_nonfall,mean_mu_fall,val_clean_accuracy,val_clean_fall_recall,val_pgd_fall_recall,val_pgd_false_fall_alarms
1,3.705047,2.022705,0.281573,1.110221,0.290548,0,0.000000,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
2,3.303371,1.962311,0.180033,0.971858,0.189168,0,0.000000,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
3,3.274723,1.959907,0.027308,1.249095,0.038411,0,0.000000,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
4,3.181927,1.981252,0.087871,1.015730,0.097074,0,0.000000,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
5,3.154301,2.015612,0.013494,1.099062,0.026133,0,0.000000,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
6,3.119342,2.014366,0.007708,1.085437,0.011832,0,0.000000,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
7,3.111716,2.013255,0.025572,1.041153,0.031737,0,0.000000,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
8,3.103784,2.011855,0.016790,1.047359,0.027780,0,0.000000,0.000000,0.000000,0.000000,0.294355,0.000000,0.000000,0
9,3.055033,1.985259,0.005987,1.047090,0.016697,0,0.000000,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
10,2.850413,1.992156,0.005347,0.835997,0.016913,0,0.000000,0.000000,0.000000,0.000000,0.243952,0.000000,0.000000,0
11,3.113061,2.051601,0.010672,1.033185,0.017603,1,1.000000,1.630265,0.910236,-0.533185,0.294355,0.000000,0.000000,0
12,3.133103,2.055109,0.015062,1.036727,0.026204,1,1.000000,1.647044,0.914011,-0.536727,0.294355,0.000000,0.000000,0
