seed,epoch,train_total_loss,mean_motion_penalty_raw,lambda_motion,lambda_x_penalty,approx_CE,penalty_to_CE_ratio,is_v2safety
42,1,1.98256,0.12828,1.0,0.12828,1.85428,0.0692,0
42,2,1.97225,0.11522,1.0,0.11522,1.85702,0.0620,0
42,3,1.96117,0.12534,1.0,0.12534,1.83583,0.0683,0
42,4,1.91568,0.11597,1.0,0.11597,1.79971,0.0644,0
42,5,1.79641,0.10904,1.0,0.10904,1.68737,0.0646,0
42,6,1.65220,0.11352,1.0,0.11352,1.53868,0.0738,0
42,7,1.56750,0.11502,1.0,0.11502,1.45249,0.0792,0
42,8,1.48052,0.11206,1.0,0.11206,1.36846,0.0819,0
42,9,1.43471,0.10687,1.0,0.10687,1.32784,0.0805,0
42,10,1.37162,0.10690,1.0,0.10690,1.26472,0.0845,0
42,11,1.34673,0.10327,1.0,0.10327,1.24345,0.0831,0
42,12,1.34566,0.11125,1.0,0.11125,1.23441,0.0901,0
42,13,1.22118,0.09292,1.0,0.09292,1.12826,0.0824,0
42,14,1.30999,0.11163,1.0,0.11163,1.19836,0.0932,0
42,15,1.12201,0.08565,1.0,0.08565,1.03636,0.0826,0
42,16,1.09114,0.07783,1.0,0.07783,1.01331,0.0768,0
42,17,1.16020,0.09002,1.0,0.09002,1.07018,0.0841,0
42,18,1.11952,0.08287,1.0,0.08287,1.03665,0.0799,0
42,19,1.14608,0.09805,1.0,0.09805,1.04802,0.0936,0
42,20,1.10773,0.08076,1.0,0.08076,1.02697,0.0786,0
42,21,1.12293,0.09274,1.0,0.09274,1.03019,0.0900,0
42,22,1.06527,0.08404,1.0,0.08404,0.98123,0.0856,0
42,23,1.04900,0.08390,1.0,0.08390,0.96511,0.0869,0
42,24,0.95444,0.07017,1.0,0.07017,0.88427,0.0793,0
42,25,0.93121,0.07140,1.0,0.07140,0.85981,0.0830,0
42,26,0.99801,0.07336,1.0,0.07336,0.92464,0.0793,0
42,27,0.98569,0.07363,1.0,0.07363,0.91206,0.0807,0
42,28,1.10547,0.09022,1.0,0.09022,1.01525,0.0889,0
42,29,0.92699,0.06866,1.0,0.06866,0.85833,0.0800,0
42,30,0.89419,0.06424,1.0,0.06424,0.82996,0.0774,0
42,31,0.90281,0.06428,1.0,0.06428,0.83853,0.0767,0
42,32,0.94824,0.07662,1.0,0.07662,0.87161,0.0879,0
42,33,0.94603,0.07547,1.0,0.07547,0.87057,0.0867,0
42,34,0.94331,0.07463,1.0,0.07463,0.86868,0.0859,0
42,35,0.98157,0.07619,1.0,0.07619,0.90538,0.0841,0
42,36,0.85732,0.06307,1.0,0.06307,0.79425,0.0794,0
42,37,0.89198,0.06651,1.0,0.06651,0.82547,0.0806,0
42,38,0.81417,0.05360,1.0,0.05360,0.76057,0.0705,0
42,39,0.91351,0.06915,1.0,0.06915,0.84436,0.0819,0
42,40,0.83648,0.06554,1.0,0.06554,0.77094,0.0850,0
42,41,0.88748,0.06290,1.0,0.06290,0.82458,0.0763,0
42,42,0.88536,0.07346,1.0,0.07346,0.81190,0.0905,0
42,43,0.95069,0.08263,1.0,0.08263,0.86806,0.0952,0
42,44,0.87366,0.06228,1.0,0.06228,0.81138,0.0768,0
42,45,0.83073,0.06228,1.0,0.06228,0.76845,0.0810,0
42,46,0.93454,0.07421,1.0,0.07421,0.86033,0.0863,0
42,47,0.79987,0.05212,1.0,0.05212,0.74775,0.0697,0
42,48,0.84277,0.06742,1.0,0.06742,0.77536,0.0869,0
42,49,0.90054,0.06684,1.0,0.06684,0.83370,0.0802,0
42,50,0.79869,0.04649,1.0,0.04649,0.75220,0.0618,0
42,51,0.88876,0.06576,1.0,0.06576,0.82300,0.0799,0
42,52,0.86864,0.06184,1.0,0.06184,0.80680,0.0767,0
42,53,0.82917,0.06646,1.0,0.06646,0.76271,0.0871,0
42,54,0.73232,0.05229,1.0,0.05229,0.68003,0.0769,0
42,55,0.88208,0.06414,1.0,0.06414,0.81794,0.0784,0
42,56,0.83255,0.05984,1.0,0.05984,0.77271,0.0774,1
42,57,0.81349,0.07168,1.0,0.07168,0.74181,0.0966,0
42,58,0.89546,0.07051,1.0,0.07051,0.82495,0.0855,0
42,59,0.84200,0.06415,1.0,0.06415,0.77785,0.0825,0
42,60,0.74995,0.05109,1.0,0.05109,0.69886,0.0731,0
42,61,0.82510,0.06416,1.0,0.06416,0.76095,0.0843,0
42,62,0.77401,0.06015,1.0,0.06015,0.71385,0.0843,0
42,63,0.75499,0.04806,1.0,0.04806,0.70694,0.0680,0
42,64,0.81510,0.06080,1.0,0.06080,0.75430,0.0806,0
42,65,0.74279,0.04949,1.0,0.04949,0.69330,0.0714,0
42,66,0.78236,0.05832,1.0,0.05832,0.72403,0.0806,0
42,67,0.78297,0.05668,1.0,0.05668,0.72628,0.0780,0
42,68,0.75149,0.05743,1.0,0.05743,0.69406,0.0827,0
42,69,0.73398,0.05153,1.0,0.05153,0.68245,0.0755,0
42,70,0.84633,0.06454,1.0,0.06454,0.78180,0.0825,0
43,1,1.98812,0.12811,1.0,0.12811,1.86001,0.0689,0
43,2,1.97048,0.12328,1.0,0.12328,1.84721,0.0667,0
43,3,1.96972,0.12112,1.0,0.12112,1.84859,0.0655,0
43,4,1.95646,0.12073,1.0,0.12073,1.83573,0.0658,0
43,5,1.92120,0.11847,1.0,0.11847,1.80274,0.0657,0
43,6,1.82389,0.11412,1.0,0.11412,1.70977,0.0667,0
43,7,1.66592,0.11234,1.0,0.11234,1.55357,0.0723,0
43,8,1.59920,0.11274,1.0,0.11274,1.48646,0.0758,0
43,9,1.54580,0.11480,1.0,0.11480,1.43101,0.0802,0
43,10,1.48603,0.10968,1.0,0.10968,1.37635,0.0797,0
43,11,1.36406,0.10510,1.0,0.10510,1.25896,0.0835,0
43,12,1.36724,0.10521,1.0,0.10521,1.26203,0.0834,0
43,13,1.35845,0.11209,1.0,0.11209,1.24636,0.0899,0
43,14,1.25948,0.09475,1.0,0.09475,1.16473,0.0813,0
43,15,1.21304,0.09122,1.0,0.09122,1.12182,0.0813,0
43,16,1.09760,0.07824,1.0,0.07824,1.01937,0.0768,0
43,17,1.21466,0.09997,1.0,0.09997,1.11469,0.0897,0
43,18,1.13647,0.08073,1.0,0.08073,1.05574,0.0765,0
43,19,1.14039,0.09662,1.0,0.09662,1.04377,0.0926,0
43,20,1.10134,0.08635,1.0,0.08635,1.01499,0.0851,0
43,21,1.12766,0.09103,1.0,0.09103,1.03663,0.0878,0
43,22,1.06912,0.08524,1.0,0.08524,0.98388,0.0866,0
43,23,1.03843,0.08295,1.0,0.08295,0.95549,0.0868,0
43,24,1.03815,0.07795,1.0,0.07795,0.96019,0.0812,1
43,25,0.97824,0.07571,1.0,0.07571,0.90253,0.0839,0
43,26,1.02463,0.08621,1.0,0.08621,0.93841,0.0919,0
43,27,0.95349,0.07434,1.0,0.07434,0.87915,0.0846,0
43,28,0.89946,0.07108,1.0,0.07108,0.82838,0.0858,0
43,29,1.03790,0.08110,1.0,0.08110,0.95681,0.0848,0
43,30,0.86460,0.05940,1.0,0.05940,0.80520,0.0738,0
43,31,0.95140,0.07629,1.0,0.07629,0.87511,0.0872,0
43,32,0.88717,0.05986,1.0,0.05986,0.82731,0.0724,0
43,33,0.89018,0.06490,1.0,0.06490,0.82528,0.0786,0
43,34,0.87679,0.06790,1.0,0.06790,0.80888,0.0839,0
43,35,0.81055,0.05731,1.0,0.05731,0.75324,0.0761,0
