seed,source_class,n_false_alarms,pct_of_total,median_fall_prob,median_logit_fall_minus_true,median_entropy,median_conf_margin
42,lie down,9,7.8,0.544,2.550,1.386,0.364
42,walk,40,34.8,0.518,1.058,1.314,0.302
42,pickup,9,7.8,0.609,3.490,1.188,0.439
42,run,40,34.8,0.511,0.881,1.285,0.283
42,sit down,2,1.7,0.502,3.725,1.331,0.281
42,stand up,15,13.0,0.516,2.818,1.327,0.309
42,TOTAL,115,100.0,0.518,1.091,1.296,0.306
44,lie down,11,9.8,0.486,2.563,1.368,0.311
44,walk,32,28.6,0.528,1.129,1.296,0.274
44,pickup,11,9.8,0.520,3.081,1.304,0.301
44,run,41,36.6,0.523,0.901,1.271,0.311
44,sit down,3,2.7,0.323,1.704,1.675,0.069
44,stand up,14,12.5,0.512,2.515,1.310,0.334
44,TOTAL,112,100.0,0.513,1.129,1.298,0.304
