epoch,train_loss,mean_base,mean_src_motion,mean_fall_margin,mean_targeted,val_clean_accuracy,val_clean_macro_f1,val_clean_fall_recall,val_fgsm_fall_recall,val_pgd_fall_recall,val_fgsm_false_fall_alarms,val_pgd_false_fall_alarms,val_normalized_false_alarm_burden,safety_score,v2_eligible,sel_v2safety,sel_v2maxrec,sel_v2lowFA,sel_v2macroF1
1,3.124923,1.988481,0.049639,1.029495,0.057308,0.243952,0.056031,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
2,3.005682,1.998763,0.006737,0.988022,0.012160,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
3,3.045790,1.998600,0.005506,1.031421,0.010264,0.294355,0.064976,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
4,2.979872,1.995649,0.008576,0.963316,0.012330,0.270161,0.109307,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
5,3.023623,1.995194,0.008187,1.009484,0.010758,0.368952,0.143987,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
6,3.005390,1.997449,0.003281,0.998818,0.005841,0.258065,0.094301,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
7,3.000679,1.994154,0.003914,0.995505,0.007105,0.310484,0.110490,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
8,2.964139,1.994933,0.002549,0.961667,0.004991,0.344758,0.186946,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
9,3.012644,1.995236,0.003034,1.008667,0.005708,0.336694,0.111300,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
10,2.948005,1.995295,0.003536,0.943431,0.005743,0.391129,0.186033,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
11,2.916432,1.993508,0.003400,0.913982,0.005542,0.286290,0.121877,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
12,2.915516,1.990736,0.005020,0.912592,0.007168,0.375000,0.179892,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
13,2.945273,1.990898,0.004889,0.942227,0.007259,0.375000,0.217136,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
14,2.975005,1.989922,0.004791,0.972474,0.007819,0.383065,0.198732,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
15,2.956664,1.986198,0.006479,0.955040,0.008946,0.423387,0.294464,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
16,2.973605,1.981752,0.009108,0.970379,0.012367,0.336694,0.217910,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
17,2.973098,1.973222,0.011974,0.971854,0.016047,0.427419,0.347628,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
18,2.951551,1.963310,0.014655,0.956086,0.017500,0.433468,0.320864,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
19,2.962924,1.942077,0.024125,0.969311,0.027411,0.405242,0.286044,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
20,2.929138,1.908903,0.036132,0.942202,0.041901,0.461694,0.344291,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
21,2.891257,1.847241,0.055584,0.928085,0.060347,0.457661,0.321137,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
22,2.862804,1.771778,0.080698,0.932330,0.077998,0.443548,0.356255,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
23,2.816225,1.709391,0.099459,0.913083,0.094291,0.447581,0.369214,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
24,2.685049,1.640815,0.095962,0.851772,0.096500,0.461694,0.391906,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,1
25,2.621433,1.566997,0.129750,0.796847,0.127839,0.500000,0.372947,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0,0,0
26,2.677262,1.563523,0.140767,0.829411,0.143560,0.497984,0.418632,0.068182,0.000000,0.000000,1,1,0.002212,0.023642,0,0,0,0,1
27,2.535495,1.486395,0.139145,0.757163,0.152791,0.572581,0.519977,0.727273,0.363636,0.159091,29,43,0.079646,0.354535,0,0,0,0,1
28,2.638743,1.477742,0.207953,0.716748,0.236300,0.564516,0.527917,0.636364,0.363636,0.272727,39,54,0.102876,0.371531,0,0,0,0,1
29,2.427369,1.409797,0.174862,0.644391,0.198319,0.584677,0.511921,0.840909,0.613636,0.431818,81,104,0.204646,0.529535,0,0,0,0,0
30,2.344282,1.355960,0.180249,0.589981,0.218091,0.616935,0.583363,0.840909,0.409091,0.204545,45,65,0.121681,0.415105,0,0,0,0,1
31,2.286292,1.305828,0.224785,0.478129,0.277549,0.614919,0.559806,0.840909,0.704545,0.409091,72,96,0.185841,0.530280,0,0,0,0,0
32,2.333976,1.305158,0.206966,0.548870,0.272982,0.653226,0.629187,0.840909,0.204545,0.090909,15,32,0.051991,0.350483,0,0,0,0,1
33,2.373718,1.303263,0.229440,0.553285,0.287729,0.574597,0.536780,0.204545,0.000000,0.000000,5,6,0.012168,0.070374,0,0,0,0,0
34,2.335365,1.323864,0.184909,0.579560,0.247032,0.671371,0.656290,0.863636,0.295455,0.204545,26,39,0.071903,0.416673,0,0,0,0,1
35,2.319772,1.286861,0.216908,0.542070,0.273935,0.663306,0.608617,0.840909,0.545455,0.340909,56,75,0.144912,0.487782,0,0,0,0,0
36,1.979150,1.197239,0.170640,0.387760,0.223511,0.687500,0.680440,0.863636,0.386364,0.159091,21,35,0.061947,0.406305,0,0,0,0,1
37,2.158774,1.211755,0.213100,0.452954,0.280965,0.667339,0.643877,0.863636,0.454545,0.250000,38,48,0.095133,0.450714,0,0,0,0,0
38,1.924837,1.168902,0.164851,0.379084,0.212000,0.677419,0.679876,0.818182,0.159091,0.090909,16,24,0.044248,0.338757,0,0,0,0,0
39,2.179393,1.205794,0.193096,0.551484,0.229018,0.697581,0.679637,0.954545,0.590909,0.477273,63,78,0.155973,0.592357,0,0,0,0,0
40,1.889942,1.148262,0.173140,0.344657,0.223884,0.687500,0.682766,0.909091,0.227273,0.068182,16,26,0.046460,0.366945,0,0,0,0,1
41,1.869324,1.112067,0.179821,0.334339,0.243097,0.723790,0.714090,0.886364,0.386364,0.159091,31,46,0.085177,0.411937,1,1,1,1,1
42,1.915731,1.123464,0.185789,0.346836,0.259643,0.699597,0.695986,0.931818,0.477273,0.340909,42,52,0.103982,0.516874,0,0,0,0,0
43,2.054178,1.154622,0.206899,0.404377,0.288280,0.681452,0.690465,0.750000,0.090909,0.045455,5,10,0.016593,0.290386,0,0,0,0,0
44,1.979977,1.136834,0.187602,0.401852,0.253689,0.689516,0.657373,0.772727,0.159091,0.045455,7,17,0.026549,0.304163,0,0,0,0,0
45,1.855983,1.080415,0.185567,0.342248,0.247754,0.715726,0.717643,0.840909,0.181818,0.090909,11,22,0.036504,0.349759,1,0,0,0,1
46,2.073615,1.135649,0.187913,0.501259,0.248794,0.707661,0.681238,0.840909,0.204545,0.090909,7,15,0.024336,0.353248,1,0,0,0,0
47,1.768810,1.063224,0.178718,0.302446,0.224422,0.747984,0.736842,0.909091,0.340909,0.113636,23,28,0.056416,0.397767,1,0,0,1,1
48,1.812705,1.051791,0.181925,0.338010,0.240979,0.701613,0.689446,0.840909,0.136364,0.068182,6,9,0.016593,0.336977,1,0,0,0,0
49,1.905911,1.087561,0.189388,0.371071,0.257892,0.699597,0.681666,0.840909,0.204545,0.136364,15,24,0.043142,0.371822,0,0,0,0,0
50,1.664770,0.999451,0.163311,0.277209,0.224799,0.707661,0.693176,0.954545,0.750000,0.454545,55,73,0.141593,0.599477,1,1,1,0,0
51,2.056644,1.109403,0.201839,0.471031,0.274371,0.663306,0.645866,0.931818,0.772727,0.568182,80,111,0.211283,0.637963,0,0,0,0,0
52,1.836173,1.074101,0.190266,0.330023,0.241783,0.725806,0.716064,0.818182,0.204545,0.068182,8,20,0.030973,0.334403,1,0,0,0,0
53,1.892618,1.085459,0.168017,0.419011,0.220130,0.721774,0.710149,0.909091,0.250000,0.090909,15,20,0.038717,0.380219,1,0,0,0,0
54,1.630179,1.006910,0.147424,0.280677,0.195167,0.711694,0.708660,0.909091,0.477273,0.272727,40,50,0.099558,0.478681,1,0,0,0,0
55,1.882135,1.080778,0.177291,0.393908,0.230159,0.727823,0.719675,0.909091,0.318182,0.181818,18,36,0.059735,0.425845,1,0,0,0,0
56,1.769356,1.026823,0.181182,0.322800,0.238550,0.739919,0.724916,0.886364,0.431818,0.181818,27,41,0.075221,0.427705,1,0,0,0,0
57,1.596280,0.975118,0.151883,0.272705,0.196574,0.762097,0.744912,0.931818,0.590909,0.318182,37,50,0.096239,0.518785,1,0,0,0,1
58,1.710326,0.992033,0.163380,0.327731,0.227182,0.741935,0.726279,0.977273,0.772727,0.568182,67,93,0.176991,0.657301,1,1,1,0,0
59,1.835977,1.030583,0.188344,0.373500,0.243550,0.719758,0.720215,0.886364,0.295455,0.113636,21,30,0.056416,0.385267,1,0,0,0,0
60,1.671993,0.977303,0.154053,0.310785,0.229851,0.737903,0.727501,0.931818,0.545455,0.272727,33,48,0.089602,0.494449,1,0,0,0,0
61,1.598315,0.962551,0.146398,0.295685,0.193682,0.760081,0.742498,0.909091,0.431818,0.113636,16,28,0.048673,0.407633,1,0,0,0,0
62,1.603822,0.958866,0.155542,0.278533,0.210881,0.699597,0.693410,0.750000,0.136364,0.068182,3,6,0.009956,0.305823,0,0,0,0,0
63,1.753030,0.996403,0.164181,0.382390,0.210056,0.770161,0.761847,0.909091,0.477273,0.181818,20,32,0.057522,0.441975,1,0,0,0,1
64,1.733822,0.976454,0.154995,0.361838,0.240536,0.752016,0.748182,0.954545,0.386364,0.204545,18,31,0.054204,0.459352,1,0,0,0,0
65,1.523500,0.909359,0.149045,0.274622,0.190474,0.772177,0.760252,0.954545,0.409091,0.204545,17,25,0.046460,0.462399,1,0,0,1,0
66,1.616605,0.925053,0.178818,0.283544,0.229189,0.745968,0.728501,0.954545,0.659091,0.522727,40,64,0.115044,0.623723,1,0,0,0,0
67,1.577452,0.955862,0.143940,0.279794,0.197855,0.762097,0.739671,0.886364,0.500000,0.363636,31,47,0.086283,0.515235,1,0,0,0,0
68,1.537764,0.898722,0.148649,0.287541,0.202853,0.752016,0.743484,0.954545,0.386364,0.272727,20,24,0.048673,0.490587,1,0,0,1,0
69,1.545501,0.911706,0.154141,0.279716,0.199938,0.786290,0.773935,0.954545,0.613636,0.318182,31,42,0.080752,0.530561,1,0,0,0,1
70,1.728470,0.957534,0.177405,0.362556,0.230976,0.780242,0.772063,0.954545,0.522727,0.363636,19,26,0.049779,0.545022,1,0,0,0,0
